positive_threshold,negative_threshold,val_macro_f1,val_iletim_f1,val_iletim_precision,val_iletim_recall,val_iletim_fn,val_iletim_fp,val_iletim_total_error
0.78,0.18,0.9256367748463948,0.8673469387755102,0.8333333333333334,0.9042553191489362,18,34,52
0.78,0.19,0.9256367748463948,0.8673469387755102,0.8333333333333334,0.9042553191489362,18,34,52
0.78,0.2,0.9256367748463948,0.8673469387755102,0.8333333333333334,0.9042553191489362,18,34,52
0.78,0.21,0.9264967379239999,0.8695652173913042,0.8374384236453202,0.9042553191489362,18,33,51
0.78,0.22,0.9264967379239999,0.8695652173913042,0.8374384236453202,0.9042553191489362,18,33,51
0.78,0.23,0.9264967379239999,0.8695652173913042,0.8374384236453202,0.9042553191489362,18,33,51
0.78,0.24,0.9264967379239999,0.8695652173913042,0.8374384236453202,0.9042553191489362,18,33,51
0.78,0.25,0.9264967379239999,0.8695652173913042,0.8374384236453202,0.9042553191489362,18,33,51
0.78,0.26,0.9264967379239999,0.8695652173913042,0.8374384236453202,0.9042553191489362,18,33,51
0.78,0.27,0.9264967379239999,0.8695652173913042,0.8374384236453202,0.9042553191489362,18,33,51
0.78,0.28,0.9264967379239999,0.8695652173913042,0.8374384236453202,0.9042553191489362,18,33,51
0.78,0.29,0.9264967379239999,0.8695652173913042,0.8374384236453202,0.9042553191489362,18,33,51
0.78,0.3,0.9264967379239999,0.8695652173913042,0.8374384236453202,0.9042553191489362,18,33,51
0.78,0.31,0.9264967379239999,0.8695652173913042,0.8374384236453202,0.9042553191489362,18,33,51
0.78,0.32,0.9264967379239999,0.8695652173913042,0.8374384236453202,0.9042553191489362,18,33,51
0.79,0.18,0.9256367748463948,0.8673469387755102,0.8333333333333334,0.9042553191489362,18,34,52
0.79,0.19,0.9256367748463948,0.8673469387755102,0.8333333333333334,0.9042553191489362,18,34,52
0.79,0.2,0.9256367748463948,0.8673469387755102,0.8333333333333334,0.9042553191489362,18,34,52
0.79,0.21,0.9264967379239999,0.8695652173913042,0.8374384236453202,0.9042553191489362,18,33,51
0.79,0.22,0.9264967379239999,0.8695652173913042,0.8374384236453202,0.9042553191489362,18,33,51
0.79,0.23,0.9264967379239999,0.8695652173913042,0.8374384236453202,0.9042553191489362,18,33,51
0.79,0.24,0.9264967379239999,0.8695652173913042,0.8374384236453202,0.9042553191489362,18,33,51
0.79,0.25,0.9264967379239999,0.8695652173913042,0.8374384236453202,0.9042553191489362,18,33,51
0.79,0.26,0.9264967379239999,0.8695652173913042,0.8374384236453202,0.9042553191489362,18,33,51
0.79,0.27,0.9264967379239999,0.8695652173913042,0.8374384236453202,0.9042553191489362,18,33,51
0.79,0.28,0.9264967379239999,0.8695652173913042,0.8374384236453202,0.9042553191489362,18,33,51
0.79,0.29,0.9264967379239999,0.8695652173913042,0.8374384236453202,0.9042553191489362,18,33,51
0.79,0.3,0.9264967379239999,0.8695652173913042,0.8374384236453202,0.9042553191489362,18,33,51
0.79,0.31,0.9264967379239999,0.8695652173913042,0.8374384236453202,0.9042553191489362,18,33,51
0.79,0.32,0.9264967379239999,0.8695652173913042,0.8374384236453202,0.9042553191489362,18,33,51
0.8,0.18,0.9264967379239999,0.8695652173913042,0.8374384236453202,0.9042553191489362,18,33,51
0.8,0.19,0.9264967379239999,0.8695652173913042,0.8374384236453202,0.9042553191489362,18,33,51
0.8,0.2,0.9264967379239999,0.8695652173913042,0.8374384236453202,0.9042553191489362,18,33,51
0.8,0.21,0.9273604098019853,0.8717948717948718,0.8415841584158416,0.9042553191489362,18,32,50
0.8,0.22,0.9273604098019853,0.8717948717948718,0.8415841584158416,0.9042553191489362,18,32,50
0.8,0.23,0.9273604098019853,0.8717948717948718,0.8415841584158416,0.9042553191489362,18,32,50
